@relation Motion

@attribute Entry numeric
@attribute x1 numeric
@attribute y1 numeric
@attribute z1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute z2 numeric
@attribute x3 numeric
@attribute y3 numeric
@attribute z3 numeric
@attribute x4 numeric
@attribute y4 numeric
@attribute z4 numeric
@attribute x5 numeric
@attribute y5 numeric
@attribute z5 numeric
@attribute x6 numeric
@attribute y6 numeric
@attribute z6 numeric
@attribute x7 numeric
@attribute y7 numeric
@attribute z7 numeric
@attribute x8 numeric
@attribute y8 numeric
@attribute z8 numeric
@attribute x9 numeric
@attribute y9 numeric
@attribute z9 numeric
@attribute x10 numeric
@attribute y10 numeric
@attribute z10 numeric
@attribute x11 numeric
@attribute y11 numeric
@attribute z11 numeric
@attribute x12 numeric
@attribute y12 numeric
@attribute z12 numeric
@attribute x13 numeric
@attribute y13 numeric
@attribute z13 numeric
@attribute x14 numeric
@attribute y14 numeric
@attribute z14 numeric
@attribute x15 numeric
@attribute y15 numeric
@attribute z15 numeric
@attribute x16 numeric
@attribute y16 numeric
@attribute z16 numeric
@attribute x17 numeric
@attribute y17 numeric
@attribute z17 numeric
@attribute x18 numeric
@attribute y18 numeric
@attribute z18 numeric
@attribute x19 numeric
@attribute y19 numeric
@attribute z19 numeric
@attribute x20 numeric
@attribute y20 numeric
@attribute z20 numeric
@attribute x21 numeric
@attribute y21 numeric
@attribute z21 numeric
@attribute x22 numeric
@attribute y22 numeric
@attribute z22 numeric
@attribute x23 numeric
@attribute y23 numeric
@attribute z23 numeric
@attribute x24 numeric
@attribute y24 numeric
@attribute z24 numeric
@attribute x25 numeric
@attribute y25 numeric
@attribute z25 numeric
@attribute x26 numeric
@attribute y26 numeric
@attribute z26 numeric
@attribute x27 numeric
@attribute y27 numeric
@attribute z27 numeric
@attribute x28 numeric
@attribute y28 numeric
@attribute z28 numeric
@attribute x29 numeric
@attribute y29 numeric
@attribute z29 numeric
@attribute x30 numeric
@attribute y30 numeric
@attribute z30 numeric
@attribute x31 numeric
@attribute y31 numeric
@attribute z31 numeric
@attribute x32 numeric
@attribute y32 numeric
@attribute z32 numeric
@attribute x33 numeric
@attribute y33 numeric
@attribute z33 numeric
@attribute x34 numeric
@attribute y34 numeric
@attribute z34 numeric
@attribute x35 numeric
@attribute y35 numeric
@attribute z35 numeric
@attribute x36 numeric
@attribute y36 numeric
@attribute z36 numeric
@attribute x37 numeric
@attribute y37 numeric
@attribute z37 numeric
@attribute x38 numeric
@attribute y38 numeric
@attribute z38 numeric
@attribute x39 numeric
@attribute y39 numeric
@attribute z39 numeric
@attribute x40 numeric
@attribute y40 numeric
@attribute z40 numeric
@attribute x41 numeric
@attribute y41 numeric
@attribute z41 numeric
@attribute x42 numeric
@attribute y42 numeric
@attribute z42 numeric
@attribute x43 numeric
@attribute y43 numeric
@attribute z43 numeric
@attribute x44 numeric
@attribute y44 numeric
@attribute z44 numeric
@attribute x45 numeric
@attribute y45 numeric
@attribute z45 numeric
@attribute x46 numeric
@attribute y46 numeric
@attribute z46 numeric
@attribute x47 numeric
@attribute y47 numeric
@attribute z47 numeric
@attribute x48 numeric
@attribute y48 numeric
@attribute z48 numeric
@attribute x49 numeric
@attribute y49 numeric
@attribute z49 numeric
@attribute x50 numeric
@attribute y50 numeric
@attribute z50 numeric
@attribute label {3,2,1}

@data
49,-2.968,13.599,13.771,-0.162,3.562,8.13,-0.162,3.562,8.13,3.083,5.526,1.053,3.083,5.526,1.053,3.083,5.526,1.053,1.532,-4.261,-8.054,1.532,-4.261,-8.054,2.652,1.829,-1.254,2.652,1.829,-1.254,3.859,7.125,6.502,3.859,7.125,6.502,11.597,13.36,18.072,11.597,13.36,18.072,10.659,11.818,11.435,10.659,11.818,11.435,0.976,1.283,-0.814,0.976,1.283,-0.814,-1.149,-2.413,-6.627,-1.149,-2.413,-6.627,4.577,9.5,9.347,4.577,9.5,9.347,8.887,12.459,11.521,8.887,12.459,11.521,8.887,12.459,11.521,9.577,13.609,15.294,9.577,13.609,15.294,6.857,11.693,14.499,6.857,11.693,14.499,4.137,10.276,12.344,4.137,10.276,12.344,4.137,10.276,12.344,-0.593,8.945,11.732,-0.593,8.945,11.732,-0.593,8.945,11.732,-0.402,10.937,14.365,-0.402,10.937,14.365,0.708,1.043,5.334,0.708,1.043,5.334,-0.172,-0.335,-2.183,-0.172,-0.335,-2.183,0.21,4.625,5.085,0.21,4.625,5.085,0.21,4.625,5.085,2.691,7.719,5.506,2.691,7.719,5.506,5.037,9.423,13.676,5.037,9.423,13.676,5.037,9.423,13.676,0.708,7.565,10.228,3
50,-0.651,5.277,8.609,0.593,0.124,0.986,0.593,0.124,0.986,2.604,4.501,3.208,2.604,4.501,3.208,6.177,4.079,1.302,6.177,4.079,1.302,16.74,14.384,15.036,16.74,14.384,15.036,9.835,3.754,7.652,9.835,3.754,7.652,-1.158,-2.959,-2.528,-1.158,-2.959,-2.528,-1.905,-5.554,-6.943,-1.905,-5.554,-6.943,5.535,1.723,3.524,5.535,1.723,3.524,10.573,11.396,15.026,10.573,11.396,15.026,14.04,18.771,12.325,14.04,18.771,12.325,8.782,9.826,9.059,8.782,9.826,9.059,8.782,9.826,9.059,0.498,6.273,9.519,0.498,6.273,9.519,0.498,6.273,9.519,-0.555,13.139,16.606,-0.555,13.139,16.606,5.382,7.431,15.055,5.382,7.431,15.055,3.821,-1.177,1.149,3.821,-1.177,1.149,-3.811,-7.834,-10.381,-3.811,-7.834,-10.381,1.417,-2.145,-4.012,1.417,-2.145,-4.012,1.417,-2.145,-4.012,9.155,4.683,5.966,9.155,4.683,5.966,16.271,12.977,18.56,16.271,12.977,18.56,-2.911,-3.533,8.198,-2.911,-3.533,8.198,-0.766,2.604,-0.651,-0.766,2.604,-0.651,-0.421,0.45,0.89,-0.421,0.45,0.89,0.804,6.751,6.071,0.804,6.751,6.071,3
51,1.053,0.603,8.925,0.632,1.494,9.49,0.632,1.494,9.49,0.632,1.494,9.49,0.89,1.685,7.987,0.89,1.685,7.987,0.89,1.685,7.987,-0.794,2.49,6.895,-0.794,2.49,6.895,-0.794,2.49,6.895,7.039,7.91,14.969,7.039,7.91,14.969,0.268,1.484,1.024,0.268,1.484,1.024,-0.354,-0.593,-0.44,-0.354,-0.593,-0.44,-0.354,-0.593,-0.44,0.871,-1.101,-2.595,0.871,-1.101,-2.595,0.871,-1.101,-2.595,0.536,-0.344,-2.394,0.536,-0.344,-2.394,0.536,-0.344,-2.394,0.565,0.22,-0.086,0.565,0.22,-0.086,0.565,0.22,-0.086,0.478,1.81,-0.402,0.478,1.81,-0.402,0.478,1.81,-0.402,-0.402,-0.747,-3.055,-0.402,-0.747,-3.055,-0.402,-0.747,-3.055,0.679,1.034,-0.124,0.679,1.034,-0.124,0.679,1.034,-0.124,2.288,2.087,0.67,2.288,2.087,0.67,2.288,2.087,0.67,1.292,4.999,2.604,1.292,4.999,2.604,1.292,4.999,2.604,-0.651,4.913,5.775,-0.651,4.913,5.775,-0.651,4.913,5.775,-0.603,4.462,3.878,-0.603,4.462,3.878,-0.603,4.462,3.878,0.593,0.21,-0.622,0.593,0.21,-0.622,0.593,0.21,-0.622,3
52,-0.143,4.156,8.581,-0.565,13.475,14.653,-0.565,13.475,14.653,-0.268,-1.541,-0.153,-0.268,-1.541,-0.153,1.982,7.192,8.159,1.982,7.192,8.159,0.584,3.553,3.208,0.584,3.553,3.208,-2.097,-0.909,-4.711,-2.097,-0.909,-4.711,-2.097,-0.909,-4.711,3.677,4.003,11.128,3.677,4.003,11.128,0.344,5.554,11.684,0.344,5.554,11.684,-0.967,-0.421,-2.806,-0.967,-0.421,-2.806,-0.9,8.332,15.045,-0.9,8.332,15.045,-0.124,2.873,6.148,-0.124,2.873,6.148,-0.124,2.873,6.148,0.277,-0.277,-2.039,0.277,-0.277,-2.039,0.277,-0.277,-2.039,0.718,8.753,10.678,0.718,8.753,10.678,1.091,7.776,10.726,1.091,7.776,10.726,0.823,-0.565,-0.794,0.823,-0.565,-0.794,0.823,-0.565,-0.794,2.03,3.39,3.093,2.03,3.39,3.093,2.03,3.39,3.093,2.547,12.68,15.294,2.547,12.68,15.294,2.547,12.68,15.294,0.45,2.834,7.7,0.45,2.834,7.7,0.679,1.043,0.622,0.679,1.043,0.622,0.679,1.043,0.622,-0.44,0.363,0.095,-0.44,0.363,0.095,-0.44,0.363,0.095,0.095,8.236,9.347,0.095,8.236,9.347,0.095,8.236,9.347,3
53,1.005,4.166,5.937,0.325,2.154,-1.072,0.325,2.154,-1.072,0.325,2.154,-1.072,-6.828,11.741,16.903,-6.828,11.741,16.903,1.417,0.383,3.39,1.417,0.383,3.39,-0.287,1.398,-0.967,-0.287,1.398,-0.967,-0.287,1.398,-0.967,0.469,9.96,16.482,0.469,9.96,16.482,0.469,9.96,16.482,0.201,0.239,3.821,0.201,0.239,3.821,2.059,1.11,2.7,2.059,1.11,2.7,-2.193,13.331,15.045,-2.193,13.331,15.045,-0.076,1.647,1.599,-0.076,1.647,1.599,-0.076,1.647,1.599,-0.373,-0.316,-3.237,-0.373,-0.316,-3.237,-0.373,-0.316,-3.237,0.354,2.413,0.718,0.354,2.413,0.718,0.354,2.413,0.718,-0.612,3.821,1.762,-0.612,3.821,1.762,-0.612,3.821,1.762,-0.89,8.274,8.092,-0.89,8.274,8.092,-0.89,8.274,8.092,0.287,10.917,10.209,0.287,10.917,10.209,0.287,10.917,10.209,0.584,8.983,11.741,0.584,8.983,11.741,0.584,8.983,11.741,0.296,7.489,13.886,0.296,7.489,13.886,0.296,7.489,13.886,-0.699,2.729,4.29,-0.699,2.729,4.29,-0.699,2.729,4.29,0.622,0.019,1.81,0.622,0.019,1.81,0.622,0.019,1.81,3
54,0.21,5.075,6.972,3.399,5.909,14.873,3.399,5.909,14.873,-3.007,-3.284,-1.656,-3.007,-3.284,-1.656,-1.733,3.83,5.305,-1.733,3.83,5.305,-1.733,3.83,5.305,4.367,10.601,15.572,4.367,10.601,15.572,0.325,1.474,5.075,0.325,1.474,5.075,-0.21,-0.861,-5.794,-0.21,-0.861,-5.794,5.497,16.348,17.411,5.497,16.348,17.411,-0.536,0.354,0.737,-0.536,0.354,0.737,2.758,-1.197,-2.71,2.758,-1.197,-2.71,-4.261,11.703,11.799,-4.261,11.703,11.799,-0.775,-2.011,-4.683,-0.775,-2.011,-4.683,6.474,11.866,14.633,6.474,11.866,14.633,0.076,2.078,4.501,0.076,2.078,4.501,0.612,-0.277,-1.321,0.612,-0.277,-1.321,-3.486,13.293,13.369,-3.486,13.293,13.369,-2.355,5.985,3.045,-2.355,5.985,3.045,1.81,4.941,8.561,1.81,4.941,8.561,1.886,4.817,8.332,1.886,4.817,8.332,1.829,4.836,7.939,1.829,4.836,7.939,0.986,4.462,8.111,0.986,4.462,8.111,0.067,5.909,13.628,0.067,5.909,13.628,-0.191,-0.114,-3.227,-0.191,-0.114,-3.227,-6.033,16.74,15.265,-6.033,16.74,15.265,0.679,0.335,1.532,0.679,0.335,1.532,3
55,0.603,3.668,8.878,0.708,3.035,8.389,0.708,3.035,8.389,-2.26,7.757,9.443,-2.26,7.757,9.443,-0.134,0.191,2.978,-0.134,0.191,2.978,1.57,-0.009,-3.533,1.57,-0.009,-3.533,-2.106,11.454,12.095,-2.106,11.454,12.095,-0.536,-0.153,-0.651,-0.536,-0.153,-0.651,5.085,4.003,5.075,5.085,4.003,5.075,0.143,9.117,13.848,0.143,9.117,13.848,-1.57,-0.814,0.603,-1.57,-0.814,0.603,-1.417,1.484,2.624,-1.417,1.484,2.624,0.076,10.228,13.58,0.076,10.228,13.58,0.076,10.228,13.58,-2.049,7.604,12.191,-2.049,7.604,12.191,-2.049,7.604,12.191,0.517,0.44,0.498,0.517,0.44,0.498,0.517,0.44,0.498,-0.488,-0.172,-2.93,-0.488,-0.172,-2.93,-0.488,-0.172,-2.93,0.89,4.06,6.052,0.89,4.06,6.052,0.89,4.06,6.052,3.026,10.084,14.681,3.026,10.084,14.681,3.026,10.084,14.681,0.325,10.285,12.479,0.325,10.285,12.479,0.325,10.285,12.479,0.459,1.225,5.296,0.459,1.225,5.296,0.737,1.168,0.172,0.737,1.168,0.172,0.737,1.168,0.172,1.666,1.972,1.762,1.666,1.972,1.762,1.666,1.972,1.762,3
56,0.402,1.819,8.964,0.794,3.668,12.411,0.794,3.668,12.411,0.794,3.668,12.411,2.911,5.018,14.183,2.911,5.018,14.183,2.911,5.018,14.183,1.369,2.748,5.545,1.369,2.748,5.545,1.369,2.748,5.545,-0.057,1.149,3.438,-0.057,1.149,3.438,-0.057,1.149,3.438,1.379,3.313,10.132,1.379,3.313,10.132,1.379,3.313,10.132,1.896,6.953,15.141,1.896,6.953,15.141,1.896,6.953,15.141,1.589,2.93,10.046,1.589,2.93,10.046,-0.249,1.474,4.156,-0.249,1.474,4.156,-0.249,1.474,4.156,0.794,2.317,6.924,0.794,2.317,6.924,0.794,2.317,6.924,2.566,6.895,12.651,2.566,6.895,12.651,2.566,6.895,12.651,1.235,7.336,11.923,1.235,7.336,11.923,1.235,7.336,11.923,0.814,3.466,5.008,0.814,3.466,5.008,0.814,3.466,5.008,-0.967,1.187,3.102,-0.967,1.187,3.102,-0.967,1.187,3.102,3.419,5.727,12.967,3.419,5.727,12.967,3.419,5.727,12.967,1.34,8.245,12.852,1.34,8.245,12.852,1.34,8.245,12.852,-0.641,0.277,-0.699,-0.641,0.277,-0.699,-0.641,0.277,-0.699,2.202,4.079,7.288,2.202,4.079,7.288,3
57,-0.66,4.453,14.193,-0.45,1.58,1.561,-0.45,1.58,1.561,2.317,4.549,12.785,2.317,4.549,12.785,0.996,5.344,10.87,0.996,5.344,10.87,-1.283,0.526,1.426,-1.283,0.526,1.426,2.604,7.403,13.187,2.604,7.403,13.187,0.43,4.079,6.809,0.43,4.079,6.809,-1.589,0.44,3.591,-1.589,0.44,3.591,0.679,9.05,17.602,0.679,9.05,17.602,-0.344,0.938,3.715,-0.344,0.938,3.715,0.478,1.886,7.814,0.478,1.886,7.814,1.426,8.198,14.662,1.426,8.198,14.662,1.426,8.198,14.662,0.249,3.313,5.372,0.249,3.313,5.372,0.249,3.313,5.372,0.105,1.072,3.591,0.105,1.072,3.591,0.105,1.072,3.591,2.145,7.613,13.436,2.145,7.613,13.436,2.145,7.613,13.436,0.153,5.899,10.582,0.153,5.899,10.582,0.153,5.899,10.582,-0.632,0.861,2.231,-0.632,0.861,2.231,-0.632,0.861,2.231,1.503,2.71,6.273,1.503,2.71,6.273,1.503,2.71,6.273,2.576,7.144,15.179,2.576,7.144,15.179,1.666,3.39,8.935,1.666,3.39,8.935,1.666,3.39,8.935,0.679,1.369,3.093,0.679,1.369,3.093,0.679,1.369,3.093,3
58,-0.009,2.039,7.537,1.608,2.47,3.811,1.608,2.47,3.811,1.608,2.47,3.811,4.434,5.439,17.248,4.434,5.439,17.248,4.434,5.439,17.248,0.612,1.359,4.52,0.612,1.359,4.52,0.612,1.359,4.52,1.857,1.934,6.167,1.857,1.934,6.167,1.857,1.934,6.167,1.953,6.081,13.819,1.953,6.081,13.819,1.953,6.081,13.819,0.67,3.256,9.299,0.67,3.256,9.299,0.67,3.256,9.299,1.283,1.398,2.25,1.283,1.398,2.25,1.283,1.398,2.25,2.394,6.205,12.517,2.394,6.205,12.517,2.394,6.205,12.517,1.359,5.803,11.358,1.359,5.803,11.358,0.028,2.078,3.026,0.028,2.078,3.026,0.028,2.078,3.026,0.316,1.436,4.3,0.316,1.436,4.3,0.316,1.436,4.3,0.565,2.346,6.828,0.565,2.346,6.828,0.565,2.346,6.828,1.312,3.055,5.65,1.312,3.055,5.65,1.312,3.055,5.65,0.651,3.763,10.094,0.651,3.763,10.094,0.651,3.763,10.094,1.35,5.181,12.057,1.35,5.181,12.057,1.35,5.181,12.057,1.245,5.123,12.938,1.245,5.123,12.938,1.245,5.123,12.938,1.359,5.142,13.091,1.359,5.142,13.091,3
59,-0.21,2.212,9.49,1.043,1.695,1.781,1.043,1.695,1.781,1.273,5.899,17.449,1.273,5.899,17.449,1.273,5.899,17.449,1.388,1.695,5.573,1.388,1.695,5.573,0.785,1.618,3.342,0.785,1.618,3.342,0.785,1.618,3.342,0.373,5.209,13.235,0.373,5.209,13.235,0.373,5.209,13.235,1.58,2.566,13.273,1.58,2.566,13.273,1.58,2.566,13.273,0.038,0.814,1.292,0.038,0.814,1.292,0.038,0.814,1.292,1.484,2.068,6.273,1.484,2.068,6.273,1.484,2.068,6.273,3.131,4.97,15.917,3.131,4.97,15.917,3.131,4.97,15.917,0.852,1.8,4.654,0.852,1.8,4.654,-0.067,1.589,2.03,-0.067,1.589,2.03,1.608,4.759,13.063,1.608,4.759,13.063,2.145,4.022,13.666,2.145,4.022,13.666,2.145,4.022,13.666,0.852,1.714,3.083,0.852,1.714,3.083,0.852,1.714,3.083,0.019,0.823,6.474,0.019,0.823,6.474,0.019,0.823,6.474,1.436,3.428,14.461,1.436,3.428,14.461,1.436,3.428,14.461,1.264,2.585,12.996,1.264,2.585,12.996,1.264,2.585,12.996,0.967,1.896,6.675,0.967,1.896,6.675,0.967,1.896,6.675,3
60,-0.028,2.624,8.619,0.679,2.403,13.283,0.679,2.403,13.283,-1.072,0.804,0.316,-1.072,0.804,0.316,2.604,4.319,12.048,2.604,4.319,12.048,1.331,3.543,13.024,1.331,3.543,13.024,-0.392,1.225,3.715,-0.392,1.225,3.715,2.078,4.07,7.776,2.078,4.07,7.776,1.206,4.711,13.685,1.206,4.711,13.685,0.21,2.02,5.018,0.21,2.02,5.018,0.249,1.245,5.315,0.249,1.245,5.315,-0.009,5.439,15.036,-0.009,5.439,15.036,0.143,1.781,4.434,0.143,1.781,4.434,0.986,1.455,3.15,0.986,1.455,3.15,1.752,4.616,12.862,1.752,4.616,12.862,0.976,4.386,10.257,0.976,4.386,10.257,0.976,4.386,10.257,0.43,2.039,3.696,0.43,2.039,3.696,0.43,2.039,3.696,0.526,1.436,2.499,0.526,1.436,2.499,0.526,1.436,2.499,1.915,4.577,11.08,1.915,4.577,11.08,0.134,3.217,11.818,0.134,3.217,11.818,0.44,0.766,3.332,0.44,0.766,3.332,2.576,2.106,7.901,2.576,2.106,7.901,2.576,2.106,7.901,1.532,4.97,15.735,1.532,4.97,15.735,1.532,4.97,15.735,0.948,3.514,13.733,0.948,3.514,13.733,3
